,Expression WT,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression WT 2,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression WT 3,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression WT 4,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression WT 5,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0033,0.350452499,-1.486790217,-1.583188994,-0.954297838,0.350452499,0.932046189,0.48687841,-0.234326444,0.1657246,-1.485101668,0.577956601,-0.256637489,-1.5256923,-1.467739019,0.43374417,0.541949684,0.888474828,0.527948938,0.350452499,0.0289345,0.276138823,0.616067357
b0034,-0.080568042,-0.508873892,-0.243708326,-0.394977681,-0.080568042,0.015074948,0.269327704,0.702025745,-0.029873063,0.02170707,-0.30610711,-0.639673067,0.445483286,0.534768248,0.219997057,0.269092012,0.661581941,0.689229962,-0.080568042,0.170060069,0.290238554,0.628461199
b0035,-0.144678633,0.139866417,0.374055622,0.2395654,-0.144678633,-0.087064875,0.620170398,0.566869162,0.283737374,0.142102803,-0.088563197,0.027200931,0.470638199,0.432621531,0.291933095,-0.079675496,0.356246585,0.273738291,-0.144678633,-0.136822615,0.201021372,0.507278694
b0036,-0.090196949,-0.492329148,-0.204465878,-0.431020274,-0.090196949,-0.379666919,-0.011648204,0.204123913,-0.403110496,0.057137677,-0.380953656,-0.280756778,0.312985223,0.576820259,0.213453171,-0.373317049,0.280254636,0.398841138,-0.090196949,-0.080667607,0.118728038,-0.101365075
b0037,0.041420879,0.075247854,-0.214368919,-0.117058401,0.041420879,-0.052983954,-0.044969048,0.215605628,-0.082133905,-0.048643977,-0.054579602,-0.150110692,0.001400949,-0.175245066,-0.075618661,-0.045116844,-0.024117261,0.069195888,0.041420879,0.0509941,-0.147266217,-0.12428211
b0038,-0.009589145,-0.309978814,-0.34911947,-0.457677061,-0.009589145,-0.149620486,0.169513912,0.27060731,-0.007464232,-0.032387198,-0.226368632,-0.28977705,0.145247091,-0.304265807,0.061154634,-0.067066684,-0.030998384,0.279088334,-0.009589145,-0.208614144,0.007886418,-0.144472868
b0039,0.013994962,0.177061419,0.276027424,0.355605498,0.013994962,0.122055103,0.744101626,0.934767188,0.419474308,-0.412543775,-0.01470102,0.083360814,0.170692226,0.244793821,0.37055889,0.135532929,0.395847199,0.616137204,0.013994962,0.108722856,0.531812305,0.250339819
b0040,-0.044581461,0.121258411,0.27212343,-0.045915508,-0.044581461,-0.012597805,0.443686757,0.211953047,0.212455901,-0.084050172,-0.013439953,0.053245959,0.15767394,0.136860173,0.217794556,-0.008436444,0.00274691,-0.032005778,-0.044581461,-0.04026858,0.159436154,0.17807247
b0041,0,0,0.444253166,0,0,0,0,0,0,0,0,0,0,0.475280883,0,0,0,0,0,0,0.497622525,0
b0042,0.010085507,-0.309102715,-0.115554824,-0.227669957,0.010085507,-0.16066685,-0.152299213,0.049307096,-0.19112486,-0.088342611,-0.162333075,-0.034383357,-0.033549202,0.403399779,0.058086089,-0.152453487,-0.130543458,0.040278276,0.010085507,-0.216153164,-0.030821367,-0.002132174
