,Expression dapF_parent,Expression dapF_sup_1-1,Expression dapF_sup_3-1,Expression dgk_parent,Expression dgk_sup_1-1,Expression dgk_sup_2-1,Expression dgk_sup_3-1,Expression entC_parent,Expression entC_sup_1-1,Expression entC_sup_2-1,Expression entC_sup_3-1,Expression ppk,Expression ppk_sup_1-1,Expression ppk_sup_1-2,Expression zwf_parent,Expression zwf_sup_1-1,Expression zwf_sup_1-2
b0550,9.869208251,9.869208251,0,0,0,0,0,0,0,0,3,0,0,0,0,9.869208251,9.869208251
b0551,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
b0552,-0.095683348,-0.129041945,-0.063078683,0.347923303,0.335748589,0.458730089,-0.215977582,0.057880916,-0.016973079,0.152003093,0.402326448,-0.242856524,0.085469342,0.135655099,-0.163190167,0.413107472,0.329622487
b0554,1.222392421,2.584962501,1.222392421,0,2.115477217,3.169925001,0.415037499,0.415037499,0.415037499,1.874469118,2.321928095,-1,0,0,-0.584962501,1.415037499,1.736965594
b0555,2,3.115477217,2,0.736965594,2.502500341,3.321928095,1,1.584962501,1.584962501,3.523561956,3.321928095,-0.263034406,0.584962501,0.584962501,0.736965594,2.115477217,2.222392421
b0556,1.169925001,2.044394119,0.906890596,0.169925001,1.459431619,2.357552005,0.459431619,0.415037499,1.115477217,2.415037499,2.807354922,-0.530514717,0,0.387023123,-0.192645078,1.087462841,1.169925001
b0557,-1.957295549,-2.404754526,-0.471868722,0.930229722,1.580828701,0.515192222,-0.044007182,5.265683984,4.317678622,2.878321443,3.75802721,-0.340173804,0.509643538,-0.470481826,-0.279223644,0.259935167,1.201903046
b0558,-1.263034406,-0.263034406,-2,0.115477217,1.584962501,1.273018494,-0.263034406,1,0.584962501,2.523561956,1.906890596,-0.321928095,0.485426827,0.443606651,-0.415037499,1.169925001,0.502500341
b0559,0.222392421,1.222392421,0,-1,1.321928095,1.321928095,0.415037499,-0.736965594,0.485426827,2.378511623,3.378511623,-0.347923303,0.440572591,0.652076697,-0.263034406,1.874469118,1
b0560,1.584962501,2,1,1,1.584962501,2,1,0.584962501,0,1.807354922,2,-1.584962501,0,0,1,1.584962501,1.584962501
b0564,0.222392421,1.807354922,0.584962501,-1.584962501,-1.584962501,-1.584962501,0.584962501,1,1,2.700439718,-1,1.807354922,0,0,-0.263034406,-2.584962501,-1
b0565,-1.496495527,-3.641175279,-1.400635511,0.546897069,-0.310144977,-0.219305746,0.028980453,2.441692455,2.369844022,0.875328889,-0.345774837,0.513065351,0.311106522,-0.256903391,-0.385260285,-0.521489906,-0.222717719
b0566,0.713695815,0.565597176,0.214124805,-0.321928095,-0.251538767,0.056583528,0,0.289506617,-0.362570079,0.473931188,0.712718048,-0.310340121,-0.310340121,0.505235308,0.056583528,0.35614381,-0.473931188
b0567,1,0.932885804,0.788495895,-0.459431619,-0.137503524,-0.289506617,0.125530882,0.716207034,0.514573173,1,1.550197083,-0.447458977,-0.447458977,0,0.347923303,0.2410081,0
b0568,0.8259706,1.032421478,0.628031223,-0.459431619,-0.137503524,-0.137503524,0,0.756728849,0.56828376,1.119298928,1.517058436,-0.5360529,-0.465663572,0,0.347923303,0.2410081,0.184424571
b0569,1.121990524,1.338801913,1.041820176,-0.628031223,0.08246216,-0.180572246,-0.087462841,0.544320516,0.459431619,1.247927513,1.624490865,-0.514573173,-0.321928095,0.070389328,0.436099115,0.371968777,0.304854582
b0570,-1.039528364,-1.509013647,-0.565597176,0.282399731,0.112474729,-0.750021747,0.345135486,2.345774837,1.906890596,1.115477217,0.584962501,1.037474705,0.337034987,0,-0.68589141,-1.624490865,-0.817135943
b0571,-1.115477217,-1.115477217,-0.056583528,0.621488377,0.584962501,-0.308122295,0.621488377,2.222392421,1.91753784,1.830074999,1.473931188,0.900464326,0.093109404,0,-0.700439718,-0.2410081,-0.700439718
b0572,-2.438573014,-1.779609932,-0.642106408,1.120854395,1.458157716,-0.178705887,1.968135501,5.714245518,4.357552005,5,4.426264755,2.156504486,-0.497499659,-0.263034406,-2.986060809,-0.194647431,-1.599037686
b0573,-2.085575732,-1.64669149,-1.600148905,-0.500613231,0.597496854,-1.310642287,0.499386769,4.662965013,3.544320516,3.058893689,3.297680549,2.308752706,0.447458977,-0.459431619,-3.489965987,-2.022839976,-2.407503827
